Question - max 120 characters,Answer 1 - max 75 characters,Answer 2 - max 75 characters,Answer 3 - max 75 characters,Answer 4 - max 75 characters,"Time limit (sec) â€“ 5, 10, 20, 30, 60, 90, 120, or 240 secs",Correct answer(s) - choose at least one
What is the collective noun for a group of parrots?,A pandemonium,A parliament,A murder,A clowder,30,1
"Which mammal is the only species capable of sustained, true flight?",The sugar glider,The flying squirrel,The bat,The colugo,30,3
Which aquatic animal has been identified through molecular phylogeny as the closest living relative to the hippopotamus?,The pig,The whale,The manatee,The rhinoceros,30,2
How many heart chambers does a cockroach possess?,1,4,13,3,30,3
What unique physical feature allows a giraffe to maintain blood flow to its brain at its extreme height?,Extremely thick blood,Very high blood pressure,Multiple carotid arteries,A second heart in the neck,30,2
What is the primary reason why honeybees perform a 'waggle dance' within the hive?,To warn of predators,To regulate hive temperature,To communicate food locations,To attract a mate,30,3
Which animal is the only marsupial found in North America?,The Virginia opossum,The wallaby,The North American porcupine,The raccoon,30,1
"What is the skin colour of a polar bear beneath its hollow, clear fur?",Grey,Pink,Black,White,30,3
A newborn kangaroo is approximately the size of which small fruit?,An apple,A grape,A cherry,A melon,30,2
Which bird possesses eyes that are larger than its entire brain?,The owl,The hummingbird,The ostrich,The eagle,30,3
How many hearts does an octopus have to facilitate blood circulation through its body?,1,3,8,2,30,2
"What is the primary food source for a koala, which spends most of its life in the trees of Australia?",Eucalyptus leaves,Bamboo shoots,Wild berries,Acacia seeds,30,1
What is the gestation period for a pregnant African elephant?,9 months,22 months,15 months,12 months,30,2
Which of these animals is known to produce cube-shaped faeces?,The platypus,The Tasmanian devil,The wombat,The kangaroo,30,3
Which anatomical feature do lions use to determine the approximate age of another lion?,The nose,The size of the mane,The tail length,The number of teeth,30,1
Where are the only sweat glands located on a dog's body?,The pads of their paws,Under their tail,Behind their ears,Their tongue,30,1
Which bird is recognised as the symbol for peace?,The dove,The peacock,The swan,The eagle,30,1
What is the collective noun for a group of crows?,A prickle,A cete,A murder,A drift,30,3
Which animal is the only big cat that lives and hunts in social groups called prides?,The cheetah,The lion,The tiger,The leopard,30,2
What is the only bird capable of flying backwards?,The woodpecker,The hummingbird,The swift,The kingfisher,30,2
Which of these insects can survive for several weeks without its head?,The beetle,The cockroach,The praying mantis,The ant,30,2
How do sea otters prevent themselves from drifting apart while they sleep in the water?,They tie themselves with kelp,They hold hands,They use their tails as hooks,They sleep in caves,30,2
What is the name for a female fox?,Doe,Vixen,Ewe,Jenny,30,2
Which marine animal has blue blood because it uses copper rather than iron to transport oxygen?,The horseshoe crab,The dolphin,The starfish,The shark,30,1
"What colour is the sweat of a hippopotamus, which acts as a natural sunscreen?",Green,Red-orange,Blue,Clear,30,2
"Which bird is the fastest land animal on two legs, reaching speeds up to 43 mph?",The ostrich,The emu,The roadrunner,The secretary bird,30,1
What determines the gender of a sea turtle hatchling during incubation?,The size of the egg,The salinity of the water,The temperature of the sand,The time of day the egg was laid,30,3
Which of these mammals is known to have 32 brains?,The jellyfish,The starfish,The earthworm,The leech,30,4
How do dolphins 'see' or locate objects and prey in dark or murky water?,Echolocation,Thermal vision,Sense of smell,Electroreception,30,1
Which animal has stripes on its skin as well as on its fur?,The zebra,The badger,The tiger,The leopard,30,3
What is the collective noun used to describe a group of parrots?,A clowder,A murder,A prickle,A pandemonium,30,4
Which of these animals is known to have the highest blood pressure in the animal kingdom?,Blue whale,African elephant,Giraffe,Cheetah,30,3
What primary factor determines the gender of a baby sea turtle while it is still in the egg?,Genetic chromosomes,Depth of the nest,Salinity of the sand,Incubation temperature,30,4
"What is the weight of the smallest mammal in the world, such as the bumblebee bat or the Etruscan shrew?",Approximately 10 g,Approximately 2 g,Approximately 50 g,Approximately 100 mg,30,2
How many heart chambers does a cockroach possess?,3,13,4,1,30,2
The 'horn' of a narwhal is actually which type of anatomical structure?,Hardened keratin,A tooth,A bone protrusion,A sensory antenna,30,2
"Which of these animals is the only mammal capable of sustained, powered flight?",Flying squirrel,Colugo,Bat,Pterodactyl,30,3
What is the maximum amount of time a sloth can hold its breath whilst underwater?,5 minutes,10 minutes,2 hours,40 minutes,30,4
Which animal is unique for producing cube-shaped faeces?,Koala,Platypus,Wombat,Kangaroo,30,3
"According to recent research, which modern-day bird is the closest living relative to the Tyrannosaurus Rex?",Crocodile,Ostrich,Komodo dragon,Chicken,30,4
What is the largest species of primate currently living on Earth?,Orangutan,Gorilla,Mandrill,Chimpanzee,30,2
What unusual physical posture must a flamingo adopt in order to eat?,It must stand on one leg,Its head must be upside down,It must be completely submerged,It must eat while flying,30,2
"Which of these animals is well-known for its ability to regenerate lost body parts, including limbs and organs?",Axolotl,Seahorse,Chameleon,Leech,30,1
From what distance is a wolf able to smell its prey?,Nearly two miles,500 yards,30 feet,10 miles,30,1
Which group of mammals is defined by the unique characteristic of laying eggs instead of giving birth to live young?,Ungulates,Marsupials,Placentals,Monotremes,30,4
How do honeybees communicate the location and quality of food sources to other members of their hive?,By leaving a trail of honey,By dancing,Through ultrasonic clicks,By touching antennae,30,2
"Which land mammal possesses the highest number of teeth, reaching up to 100?",Grizzly bear,Giant Armadillo,Hippopotamus,African Elephant,30,2
The eyes of a reindeer are known to change colour from gold in the summer to which colour in the winter?,Blue,Green,Black,Red,30,1
Which insect is the only one capable of turning its head 180 degrees?,Cockroach,Honeybee,Praying mantis,Dragonfly,30,3
In which of these sea creatures does the male carry the eggs and give birth to the young?,Seahorse,Octopus,Box jellyfish,Clownfish,30,1
Which animal is the largest land predator found on the continent of Australia?,Tasmanian Devil,Saltwater Crocodile,Red Kangaroo,Dingo,30,4
How many different facial expressions is a horse capable of making?,50,17,0,3,30,2
Approximately how many muscles are contained within an elephant's trunk?,"2,000",100,600,"40,000",30,4
Which animal is famously known for having 32 brains?,Octopus,Starfish,Leech,Cockroach,30,3
Which of these animals has fingerprints that are so similar to humans that they have been mistaken for them at crime scenes?,Raccoon,Koala,Chimpanzee,Gorilla,30,2
True or False: Sharks have bones in their skeletons.,TRUE,FALSE,,,30,2
How much weight can a baby blue whale gain in a single day during its first year?,50 pounds,250 pounds,10 pounds,"1,000 pounds",30,2
What is the longest period of time a snail has been observed to sleep without waking?,3 years,24 hours,1 week,3 months,30,1
Which animal has stripes not only on its fur but also directly on its skin?,Skunk,Chipmunk,Zebra,Tiger,30,4
Which of these birds is well-known for its ability to recognize and remember individual human faces for several years?,Crow,Robin,Hummingbird,Pigeon,30,1
"Although polar bears appear white to blend into the Arctic snow, what is the actual colour of their skin beneath the fur?",Black,Blue,White,Pink,30,1
The blue whale is the largest animal on Earth. Approximately how much weight can a blue whale calf gain in a single day during its nursing period?,50 pounds,500 pounds,10 pounds,250 pounds,30,4
How many cervical (neck) vertebrae does a giraffe possess?,12,7,21,14,30,2
Which of the following describes the unique circulatory system of an octopus?,Four hearts and green blood,Two hearts and red blood,Three hearts and blue blood,One heart and clear blood,30,3
"A sloth's metabolism is notoriously slow, but it has a surprising aquatic ability. For how long can a sloth hold its breath underwater?",5 minutes,40 minutes,15 minutes,10 minutes,30,2
How do honeybees communicate the specific location of a high-quality food source to the rest of their hive?,The 'waggle dance',Head-butting other bees,Pheromone trails,High-pitched buzzing frequencies,30,1
Which of the following is true regarding the anatomy of an ostrich?,It has no wings,Its eye is larger than its brain,Its brain is the largest of all birds,It possesses three stomachs,30,2
The platypus and the spiny anteater (echidna) are the only two mammals that belong to which egg-laying group?,Placentals,Invertebrates,Marsupials,Monotremes,30,4
An elephant's trunk is a marvel of biological engineering. Approximately how many muscles are contained within a single trunk?,100,15000,40000,1000,30,3
What is unique about the waste produced by an Australian wombat?,It is liquid only,It glows in the dark,It is blue in colour,It is cube-shaped,30,4
What primary environmental factor determines the gender of a baby sea turtle while it is still in the egg?,Humidity,Depth of the nest,Temperature,Oxygen levels,30,3
Which animal is famous in the scientific community for its ability to regenerate lost limbs and even parts of its heart and brain?,Lizard,Sea star,Chameleon,Axolotl,30,4
"Contrary to the popular belief that they change colour to blend into their surroundings, why do chameleons primarily alter their skin pigment?",To regulate temperature and communicate,To improve their vision,To attract insects,To scare away birds,30,1
"A narwhal's 'tusk' is a prominent feature often associated with myths of unicorns. What is this tusk, biologically speaking?",A modified nose bone,An overgrown tooth,A hardened bundle of hair,A sensory antenna made of cartilage,30,2
What specialized method do bats use to navigate and locate prey in total darkness?,Infrared vision,Advanced sense of smell,Echolocation,Magnetic field sensing,30,3
"Based on molecular phylogeny, which of the following aquatic animals is the closest living relative to the hippopotamus?",Shark,Crocodile,Whale,Manatee,30,3
How does the wood frog survive the extreme sub-zero temperatures of the Alaskan winter?,Burrowing deep into the Earth's core,Developing a thick layer of blubber,Migrating to warmer climates,Freezing solid while using a natural 'antifreeze',30,4
Which of the following mammals possesses fingerprints so similar to those of humans that they can occasionally be confused at a crime scene?,Koala,Raccoon,Gorilla,Chimpanzee,30,1
"In a lion pride, which member is typically responsible for performing the vast majority of the hunting?",The Lionesses,The Alpha Male,Solitary nomad lions,The older cubs,30,1
Which big cat is unique because it is the only one that cannot roar?,Cheetah,Jaguar,Tiger,Leopard,30,1
Where do sea otters typically store their favourite rocks and extra food while they are swimming?,In a pocket of skin under their armpits,In a pouch on their belly,In their mouths,They bury them in the sand,30,1
What unusual hunting technique does the archerfish use to capture land-based insects?,Leaping out of the water,Using a biological fishing lure,Creating a whirlpool,Spitting a jet of water,30,4
"According to genetic research, which modern-day animal is the closest living relative to the Tyrannosaurus Rex?",The Komodo Dragon,The Rhinoceros,The Crocodile,The Chicken,30,4
What is the reason that flamingos are born with white or grey feathers but eventually turn bright pink or orange?,Their diet,A chemical reaction with salt water,Camouflage from predators,Sunburn on their feathers,30,1
"Relative to its body size, which of the following animals is considered the strongest in the world?",Dung Beetle,African Elephant,Leafcutter Ant,Gorilla,30,1
How many teeth can an alligator potentially go through in its lifetime?,10000,500,50,3000,30,4
Which of the following describes the unique reproductive role of the male seahorse?,He builds the nest and leaves,He protects the female while she hunts,He carries and gives birth to the young,He feeds the young with 'crop milk',30,3
What specialized sense do sharks possess that allows them to detect the muscle contractions of prey hidden in the sand?,Electroreception,Thermal imaging,Echolocation,Telescopic vision,30,1
The Virginia Opossum is famous for being the only member of which animal group found in North America?,Monotremes,Primates,Marsupials,Xenarthrans,30,3
What are the only two mammals currently known to the scientific world that lay eggs?,Platypus and Echidna,Opossum and Wombat,Armadillo and Anteater,Manatee and Dugong,30,1
How are the three hearts of an octopus functionally distributed throughout its body?,All three hearts pump blood simultaneously to the systemic circulation to maintain high pressure.,"Two hearts pump blood to the gills, while one pumps it to the rest of the body.","One heart is dedicated to the brain, one to the digestive system, and one to the limbs.","Two hearts pump blood to the brain, while one manages the gills and systemic organs.",30,2
Why is the blood of an octopus blue in colour rather than red?,It uses an iron-based protein that turns blue when exposed to saltwater.,It uses a copper-based protein called hemocyanin to transport oxygen.,It contains high levels of magnesium to help with deep-sea pressure regulation.,"The blood lacks any metallic elements, relying on dissolved gases alone.",30,2
"According to research on farm animal social lives, what happens to a cow's physiological state when it is reunited with its 'best friend'?","Their heart rates drop, indicating a significant reduction in stress.",They experience a temporary spike in adrenaline due to social excitement.,They exhibit no measurable physiological change compared to being with any other herd member.,Their cortisol levels rise as they re-establish dominance within the pair.,30,1
What is the biological mechanism that allows the jellyfish species Turritopsis dohrnii to be considered 'immortal'?,It enters a state of suspended animation that stops all metabolic aging indefinitely.,It continuously clones itself to replace dying tissues within the same organism.,It can revert its cells back to an earlier adolescent state after reaching maturity.,It possesses an exoskeleton that is completely impervious to disease and predators.,30,3
The mantis shrimp's punch is notable for creating 'cavitation'. What is a secondary effect of this extreme speed?,It releases a toxic cloud of ink to blind the target after impact.,It creates a permanent vacuum pocket in the water that suffocates prey.,It triggers a chemical reaction in the prey's shell that causes it to dissolve.,It causes the water to boil and produces a tiny flash of light.,30,4
"Which unusual anatomical feature is common to many hoofed animals, such as goats and sheep, regarding their vision?",Their eyes are capable of independent 180° rotation.,They have three eyelids to protect against dust while grazing.,They lack the ability to perceive any depth due to eye placement.,They possess rectangular pupils.,30,4
Wombat droppings are uniquely cube-shaped. How does the animal's physiology achieve this specific geometry?,It manually shapes the waste using its hind paws after excretion.,The animal has a square-shaped sphincter muscle that moulds the waste as it exits.,The waste is naturally liquid but crystallises into cubes upon contact with air.,The intestines have varying levels of elasticity that compress the waste into corners.,30,4
Axolotls are scientifically significant due to their ability to regenerate. Which of the following can they regrow without scarring?,"Any part of their body, but the new growth is significantly weaker.","Their skin and muscle, provided the bone remains intact.","Limbs, spinal cords, and even parts of their brain.",Only their tail and external gills.,30,3
Why do sloths often appear to have a greenish or mossy hue on their fur?,Symbiotic algae grows on their fur due to their slow movement.,It is a result of a diet consisting exclusively of unripened fruit.,Their skin produces a green pigment as a natural sunblock.,They roll in damp vegetation to absorb nutrients through their skin.,30,1
What is the primary factor that determines the pink colouration of an adult flamingo?,High levels of oxygen in the tropical waters where they reside.,The reflection of sunlight off the pink salt flats they inhabit.,A genetic mutation that prevents them from producing standard bird melanin.,The presence of carotenoids in their diet of algae and shrimp.,30,4
How does a wood frog survive being 'frozen solid' during winter months?,It burrows below the frost line where the temperature remains constant.,It produces natural antifreeze like glucose and urea to protect its cells.,Its heart continues to beat at a rapid pace to generate internal friction heat.,It enters a deep sleep that allows it to hold its breath for six months.,30,2
Which animal is known to defend itself by squirting foul-tasting blood from its eyes?,The African crested rat.,The North American horned lizard.,The Spanish ribbed newt.,The star-nosed mole.,30,2
What unique defence mechanism is utilised by the hagfish when it is captured by a predator?,It releases a 600-volt electric shock to stun the attacker.,It secretes a mucus that expands into massive quantities of slime to clog the predator's gills.,It detaches its tail to distract the predator while it escapes.,It inflates its body with air to become too large to swallow.,30,2
How do Japanese honeybees defend their hive against giant hornets that are mostly immune to stings?,They use collective suicidal stings to overwhelm the hornet's nervous system.,They spray a corrosive acid that dissolves the hornet's exoskeleton.,They seal the hornet inside a wax chamber to suffocate it.,They form a vibrating ball around the hornet to generate lethal heat.,30,4
A cow's stomach is often misunderstood. Which of the following correctly describes its anatomy?,It has a single-chambered stomach similar to humans but significantly larger.,"It possesses four separate, independent stomachs connected by valves.",It has one stomach with four distinct compartments.,It has two stomachs: one for digestion and one for water storage.,30,3
The 'hairy frog' from Central Africa possesses a defence mechanism that has led researchers to nickname it the 'Wolverine frog'. What is this mechanism?,"It has thick, fur-like hair that is actually made of venomous spines.",It breaks its own toe bones to produce retractable claws that pierce its skin.,It produces a metallic-like substance in its skin that makes it bulletproof.,It can regenerate lost limbs in a matter of hours.,30,2
Why do male penguins in species like the Adélie and Gentoo present pebbles to females?,The pebble contains salt deposits that are vital for the female's health.,To provide the female with grit necessary for her digestion.,To demonstrate their ability to provide materials for building a nest.,To mark the female as their mate and deter other males.,30,3
What is unique about the reproduction process of the seahorse?,The male carries and gives birth to the young.,They are the only marine animals that lay eggs in underwater trees.,The young are born as fully grown adults.,They reproduce asexually through a process called parthenogenesis.,30,1
How does the 'pistol shrimp' capture or stun its prey from a distance?,By firing a harpoon-like stinger from its tail.,By vibrating its body to create a local earthquake in the sand.,By snapping its claw to create a high-pressure bubble that collapses with extreme force.,By releasing a fast-acting neurotoxin into the surrounding water.,30,3
Where are the sweat glands located on a dog's body?,On the tip of their nose.,Behind their ears and along their neck.,Evenly distributed across their entire skin under the fur.,Only on the pads of their paws.,30,4
Which animal is known for its ability to remember and recognise human faces for several years?,Crows.,Goldfish.,Domesticated sheep.,Bullfrogs.,30,1
What is the primary function of the 'ink' released by cephalopods like octopuses and squid?,To poison the predator instantly upon contact.,To help them attract mates by creating vibrant patterns in the water.,To create a smokescreen that confuses and irritates predators.,To mark their territory so other octopuses stay away.,30,3
Which animal produces a 'backpack' of toxic blue substance and blows itself up to protect its colony?,Hagfish.,Bombardier beetles.,Certain species of termites.,Exploding ants.,30,3
How do sea cucumbers deter predators in a manner known as the 'cuke nuke'?,They expel their toxic intestines and organs out of their anus.,They release a cloud of radioactive-like bioluminescent gas.,They turn their entire body into a solid rock that is impossible to bite.,They detonate small gas pockets in their skin to create shockwaves.,30,1
What is the purpose of the 'honey dance' performed by bees?,To alert the hive of an approaching giant hornet.,To communicate the location of high-quality pollen and nectar to the hive.,To establish dominance within the queen's court.,To keep the hive warm during cold winter nights.,30,2
Why are horseshoe crabs considered to have 'most lives saved' in terms of human medical history?,Their shells are processed into a material for high-strength artificial bone.,They produce a natural antibiotic that is stronger than penicillin.,A clotting agent in their blue blood is used to detect impurities in medical equipment.,They are the primary source for modern heart valve replacements.,30,3
Which metal is responsible for the blue colour of an octopus's blood?,Copper,Zinc,Iron,Magnesium,30,1
What unique physical characteristic allows a wombat's waste to be cube-shaped?,A square-shaped sphincter muscle,A rapid dehydration process in the stomach,Extremely high levels of calcium in their diet,Varying elasticity in the large intestine,30,4
Which of the following statements accurately describes a cow's digestive system?,Cows can only digest food when standing up,Cows have four separate stomachs,Cows have a single stomach with four compartments,Cows have two hearts to pump blood to their massive digestive tract,30,3
How does the 'immortal jellyfish' (Turritopsis dohrnii) effectively reset its lifespan?,It clones itself through binary fission every year,It sheds its outer skin and grows a new body,It enters a state of deep hibernation for decades,It reverts from a mature medusa to an adolescent polyp,30,4
What is the primary cause of the flash of light seen during a mantis shrimp's punch?,Static electricity generated by the shrimp's movement,Bioluminescent bacteria on their claws,Friction between the claw and the prey's shell,Cavitation bubbles collapsing,30,4
What distinguishes the axolotl from other salamanders throughout its life?,"It remains in a youthful, aquatic state forever",It loses its ability to breathe underwater after maturity,It changes its skin colour to match its environment,It is the only salamander that cannot regenerate limbs,30,1
Flamingos are not born pink. What chemical compound in their diet gives them this iconic hue?,Melanin,Chlorophyll,Carotenoids,Haemoglobin,30,3
How do sea otters prevent themselves from drifting away from their group while sleeping?,They only sleep on land to avoid ocean currents,They hold hands or wrap themselves in kelp,They use their thick fur to stick to other otters like Velcro,They anchor themselves to the sea floor with heavy rocks,30,2
"Which mammal is the only species capable of true, powered flight?",Flying Lemur (Colugo),Flying Squirrel,Bat,Sugar Glider,30,3
"Contrary to popular belief, what do hippos actually do when they are in deep water?",They enter a state of suspended animation until they drift to shore,They sink and run along the river bottom,They inflate their stomachs with air to float like buoys,They use powerful webbed feet to swim like ducks,30,2
How do Japanese honeybees defend their hive against giant hornets?,By vibrating their flight muscles to cook the hornet,By spraying a toxic acid from their stingers,By mimicking the hornet's scent to confuse it,By sealing the hornet inside the hive with wax,30,1
What is the 'showstopper' defensive mechanism used by the Texas horned lizard?,Releasing a high-pitched scream that causes temporary deafness,Detaching its tail to distract the predator,Shooting a stream of blood from its eyes,Changing its colour to become transparent,30,3
"Which animal is considered the longest-living vertebrate on Earth, reaching ages of over 400 years?",Galapagos Tortoise,Bowhead Whale,Greenland Shark,African Elephant,30,3
Why do most birds not produce liquid urine?,They only excrete waste once a month during migration,To remain as light as possible for flight,Because they absorb 100% of the water they drink,They lack kidneys to process liquid waste,30,2
"In seahorses, which individual carries and gives birth to the offspring?","The male, using a specialised brood pouch","The female, after internal fertilisation",Both parents take turns carrying the eggs,The eggs are left in kelp forests to hatch on their own,30,1
What is the survival benefit of the green algae that grows on a sloth's fur?,It provides a direct source of food through their skin,It regulates the sloth's body temperature in high humidity,It repels biting insects and parasites,It acts as camouflage in the rainforest canopy,30,4
How does the hagfish use its slime to defend against predators?,By creating a 'bubble' that the hagfish hides inside,By poisoning the water in a ten-foot radius,By clogging the gills of the attacker,By making its body too slippery to grasp,30,3
"According to research, what social ability have crows demonstrated regarding humans?",They can understand and follow complex spoken directions,They can recognise and remember specific human faces for years,They have been trained to use human currency in exchange for food,They can learn to mimic any human voice perfectly,30,2
What allows the wood frog to survive being frozen solid during winter?,Vibrating their muscles to generate internal heat,Burrowing below the frost line in the soil,Natural 'antifreeze' made of glucose and urea,A thick layer of insulating blubber under the skin,30,3
What unusual property was discovered in platypus fur in 2020?,It changes colour when the water temperature drops,It can absorb oxygen directly from the water,It is completely fireproof,It glows blue-green under UV light,30,4
How does the pistol shrimp produce its signature loud 'snap'?,By grinding two specialized bones in its thorax,By snapping a rubber-like protein in its tail,By collapsing a high-speed cavitation bubble,By hitting its claw against the sea floor,30,3
Which animal holds the record for sleeping up to 22 hours per day?,Domestic Cat,Three-toed Sloth,Brown Bear,Koala,30,4
Why are cheetahs unable to roar like lions or tigers?,They lack a voice box entirely,They use all their lung capacity for running instead,They are naturally mute to avoid alerting prey,"Their voice box has a fixed, rigid structure",30,4
What is the primary attraction used by a male bower bird to entice a mate?,A complex song mimicking other birds,Bringing the female a perfect smooth pebble,A decorated structure filled with blue items,Changing its eye colour to match the female's,30,3
"Which animal has the shortest lifespan, living for only a matter of hours to a few days after reaching maturity?",House Fly,Honeybee Drone,Mosquito,Mayfly,30,4
What unusual defensive method is employed by the Spanish ribbed newt?,Expanding its body to ten times its original size,Shooting boiling water from its tail,Releasing a cloud of ink to hide its escape,Pushing its ribs through its skin to act as poison-tipped barbs,30,4
How does the queen parrotfish protect itself while sleeping on a coral reef?,It stays perfectly still and changes colour to match the coral,It buries itself under the sand,It sleeps with one eye open to watch for sharks,It secretes a mucus bubble that masks its scent,30,4
"Which animal possesses the largest testicles in terms of absolute weight, weighing up to 1,000kg?",Blue Whale,Right Whale,African Elephant,Tuberous Bush Cricket,30,2
Why is the box jellyfish considered the most venomous animal in the world?,It can fire its venom like a projectile over several feet,"Its venom attacks the heart, nervous system, and skin cells simultaneously",It is the only animal that can sting through thick wetsuits,It has the longest stingers of any creature,30,2
How do dolphins manage to sleep without drowning or being eaten?,They anchor their tails to the sea floor during rest,They float on their backs with their blowholes above water,They only sleep in 10-second micro-bursts,They sleep with only half of their brain at a time,30,4
"How many hearts does an octopus possess, and what primary function do they serve?",Two; one for the upper body and one for the lower body.,One; a large central heart similar to mammalian structures.,Three; two pump blood to the gills and one to the rest of the body.,Nine; one located in each arm and one central heart.,30,3
What unique physical property causes octopus blood to appear blue?,Specialised pigment cells known as chromatophores.,A high concentration of magnesium in the plasma.,The presence of iron-based haemoglobin in a cold environment.,The use of copper-based hemocyanin to transport oxygen.,30,4
Which of the following describes the unusual reproductive behaviour of seahorses?,The male carries the eggs in a brood pouch and gives birth.,Both parents take turns carrying the young in their mouths.,The female protects the nest while the male hunts for food.,They lay eggs in floating algae and abandon them immediately.,30,1
"What is the biological significance of the 'immortal' jellyfish, Turritopsis dohrnii?","It has a lifespan that naturally extends over 1,000 years without changes.",It possesses a shell that is completely immune to all predators.,It can revert from its adult state back to a polyp stage when stressed.,It can survive without oxygen for hundreds of years.,30,3
Why do wombats produce cube-shaped droppings?,Their pelvic bones are shaped in a way that squares the waste.,It is a byproduct of a diet consisting solely of square-stemmed plants.,Their intestines compress waste to prevent it from rolling away.,It is a defensive mechanism to deter predators with sharp edges.,30,3
What determines the pink colouration of a flamingo's feathers?,The reflection of light from the pink salt flats where they live.,A defensive camouflage technique to blend in with coral reefs.,A diet rich in carotenoid pigments from algae and shrimp.,A genetic mutation that allows them to absorb more sunlight.,30,3
How do sloths benefit from the algae that grows on their fur?,It regulates their body temperature in cold environments.,It makes their fur waterproof during the heavy rainy season.,It provides camouflage to help them blend into the tree canopy.,It acts as a primary food source that they absorb through their skin.,30,3
Which animal is known for having the highest blood pressure in the animal kingdom?,Cheetah,African Elephant,Blue Whale,Giraffe,30,4
What is a notable defensive mechanism of the North American horned lizard?,It detaches its tail to distract predators with a wriggling motion.,It changes its skin colour to match the desert sand perfectly.,It releases a cloud of ink to blind its attackers.,It can squirt a stream of toxic blood from its eyes.,30,4
How does the Spanish ribbed newt use its own skeleton as a weapon?,It forces its ribs through its skin to create poison-tipped barbs.,It uses its tail bone as a club to strike predators.,It inflates its bones to become too large to swallow.,It detaches its spine to escape from a predator's grip.,30,1
The 'Hairy Frog' (Trichobatrachus robustus) is sometimes called the 'Wolverine Frog' because it:,Can heal any wound instantly using a rapid regeneration factor.,Is the only frog known to hunt and eat small mammals.,Breaks its own toe bones to produce retractable claws.,Has fur that is as thick and durable as a wolverine's coat.,30,3
What is the primary way hagfish defend themselves against predators?,They deliver a high-voltage electric shock of up to 600 volts.,They coil into a spiked ball that is impossible to bite.,They use jet propulsion to escape at speeds of 75 mph.,They produce a massive amount of slime to clog the predator's gills.,30,4
Which bird species is known to present pebbles to potential mates as a courtship ritual?,Peacocks,Gentoo and Adélie penguins,Ostrich,Waved albatross,30,2
What is unique about the platypus's appearance under ultraviolet (UV) light?,"It exhibits biofluorescence, glowing a blue-green colour.",It becomes completely transparent to the naked eye.,Its venomous spurs become visible through its skin.,It turns a bright pink to match the colour of flamingos.,30,1
How do cows react when they are separated from their 'best friends'?,Their stress levels and heart rates significantly increase.,They enter a state of hibernation to conserve energy.,They lose their ability to produce milk permanently.,They immediately try to mate with a new partner to reduce anxiety.,30,1
Which invertebrate is widely considered the most intelligent on the planet?,Praying Mantis,Honeybee,Octopus,Giant Squid,30,3
What happens to the systemic heart of an octopus when it swims?,It stops beating to prioritise oxygen for the arms.,It beats three times faster to provide jet propulsion.,It reverses the flow of blood to the gills.,It merges with the two gill hearts to form one super-heart.,30,1
What is the 'Cuke Nuke' used by some sea cucumbers?,Releasing a high-temperature acid spray from the skin.,Expanding to ten times its original size in seconds.,Self-destructing to kill the entire local colony.,Violently ejecting toxic internal organs out of the anus.,30,4
Why do wood frogs freeze solid during winter without dying?,They burrow deep enough into the earth to reach molten heat.,They have a special thick fur that keeps them warm under ice.,Their bones are made of a metal that doesn't reach zero degrees.,They produce natural antifreeze like glucose to protect their cells.,30,4
What is the purpose of the 'Waggle Dance' performed by honeybees?,To regulate the temperature of the queen bee.,To warn the hive of an approaching giant hornet.,To communicate the location and quality of food sources.,To signal that the current queen has reached maturity.,30,3
How do sperm whales defend themselves against attacking orcas?,Individual whales sacrifice themselves so the pod can escape.,Diving to depths where the orcas' lungs would collapse.,Using ultrasonic blasts to explode the orcas' internal organs.,Creating a 'rosette' formation and releasing a defensive faecal cloud.,30,4
Which of these facts about the ostrich is true regarding its anatomy?,It is the only bird that can fly backwards.,It has three stomachs like a cow.,Its eye is larger than its brain.,It can hold its breath underwater for 30 minutes.,30,3
"What is the speed of a mantis shrimp's punch, and what physical phenomenon does it cause?",It reaches 120 kph and creates a vacuum in the water.,It moves at the speed of sound and creates a sonic boom.,It takes five seconds to wind up but can crack a ship's hull.,It is faster than a bullet and causes the water to boil.,30,4
Which land animal has the most powerful bite force?,Grizzly Bear,Saltwater Crocodile,Hyena,Hippopotamus,30,4
How do baby elephants comfort themselves when not feeding?,By rubbing their ears against tree bark.,By mimicking the trumpet calls of their fathers.,By sucking on their own trunks.,By rolling in deep mud to lower their blood pressure.,30,3
What is the correct plural of 'octopus' according to scientists and linguistic history?,Octopodes,Octopi,Octopuses,Octopeese,30,3
